territory id,area name,region name,country,status
T049,Kota Zone 49,Central,India,Active
T038,Munger Zone 38,North,India,Active
T028,Mahbubnagar Zone 28,East,India,Active
T022,Chandrapur Zone 22,East,India,Active
T032,Bhind Zone 32,West,India,Active
T019,Navi Mumbai Zone 19,West,India,Active
T037,Ghaziabad Zone 37,South,India,Active
T004,Ahmedabad Zone 4,South,India,Active
T048,Mango Zone 48,West,India,Active
T010,Shimoga Zone 10,North,India,Active
T041,Gandhidham Zone 41,East,India,Active
T033,Malda Zone 33,West,India,Active
T030,Bhubaneswar Zone 30,South,India,Active
